범죄대분류,범죄중분류,서울 종로구,서울 중구,서울 용산구,서울 성동구,서울 광진구,서울 동대문구,서울 중랑구,서울 성북구,서울 강북구,서울 도봉구,서울 노원구,서울 은평구,서울 서대문구,서울 마포구,서울 양천구,서울 강서구,서울 구로구,서울 금천구,서울 영등포구,서울 동작구,서울 관악구,서울 서초구,서울 강남구,서울 송파구,서울 강동구
강력범죄,살인기수,0,3,5,2,1,2,3,1,0,5,3,6,1,1,3,3,2,2,2,1,1,4,3,4,0
강력범죄,살인미수등,1,2,5,3,1,5,2,1,6,2,4,3,2,3,1,2,5,4,8,0,3,6,13,1,3
강력범죄,강도,5,5,4,2,6,4,2,1,0,0,3,1,0,4,1,6,0,3,6,1,3,5,17,3,4
강력범죄,강간,31,21,52,22,49,25,35,32,40,18,29,37,40,89,16,53,30,31,58,20,88,52,161,71,24
강력범죄,유사강간,6,7,9,3,9,9,5,8,3,1,6,1,7,23,3,16,7,2,10,7,22,13,42,8,9
강력범죄,강제추행,171,150,201,88,178,90,102,105,98,55,108,93,83,391,85,193,150,93,212,152,221,295,428,236,133
강력범죄,기타 강간/강제추행등,0,2,0,1,1,1,0,1,0,0,0,0,1,1,1,3,0,1,1,2,4,1,4,1,0
강력범죄,방화,9,8,6,7,7,8,10,5,4,5,9,10,2,6,9,12,5,5,3,7,11,8,9,10,5
절도범죄,절도범죄,1180,1410,1072,968,1321,1618,1439,884,968,800,1506,1520,1012,1469,1513,1671,1572,887,1790,1091,1967,1587,2094,2500,1662
폭력범죄,상해,110,96,103,74,89,88,117,67,71,58,68,111,54,140,84,126,80,74,141,78,103,71,246,119,96
폭력범죄,폭행,785,866,1187,504,705,869,840,648,703,488,885,813,495,1179,733,1171,961,548,1187,701,1304,1091,1900,1374,909
폭력범죄,체포/감금,2,5,9,1,7,2,3,8,3,2,2,4,5,8,3,11,2,4,8,4,17,13,27,15,3
폭력범죄,협박,143,125,146,148,120,168,186,127,129,94,164,181,106,196,158,269,175,151,188,148,265,182,348,293,172
폭력범죄,약취/유인,1,0,5,1,2,2,5,1,1,1,3,1,3,1,5,2,0,0,3,3,4,6,8,2,6
폭력범죄,폭력행위등,23,37,47,17,22,27,41,17,27,20,26,18,9,41,27,36,38,18,79,11,34,35,76,32,22
폭력범죄,공갈,27,21,43,35,44,39,52,34,34,15,45,71,18,39,27,81,29,13,38,44,37,58,119,91,38
폭력범죄,손괴,269,228,401,253,314,267,335,247,201,180,241,360,210,308,327,353,331,184,426,198,403,356,611,420,273
마약범죄,마약범죄,59,56,178,86,80,91,58,43,64,40,76,51,49,119,64,139,110,58,146,72,173,220,817,154,68
