범죄대분류,범죄중분류,지역,범죄건수
강력범죄,살인기수,서울 종로구,0
강력범죄,살인미수등,서울 종로구,1
강력범죄,강도,서울 종로구,5
강력범죄,강간,서울 종로구,31
절도범죄,절도,서울 종로구,1180
폭력범죄,상해,서울 종로구,110
폭력범죄,폭행,서울 종로구,785
폭력범죄,협박,서울 종로구,143
마약범죄,마약,서울 종로구,59
강력범죄,살인기수,서울 중구,3
강력범죄,살인미수등,서울 중구,2
강력범죄,강도,서울 중구,5
강력범죄,강간,서울 중구,21
절도범죄,절도,서울 중구,1410
폭력범죄,상해,서울 중구,96
폭력범죄,폭행,서울 중구,866
폭력범죄,협박,서울 중구,125
마약범죄,마약,서울 중구,56
강력범죄,살인기수,서울 용산구,5
강력범죄,살인미수등,서울 용산구,5
강력범죄,강도,서울 용산구,4
강력범죄,강간,서울 용산구,52
절도범죄,절도,서울 용산구,1072
폭력범죄,상해,서울 용산구,103
폭력범죄,폭행,서울 용산구,1187
폭력범죄,협박,서울 용산구,146
마약범죄,마약,서울 용산구,178
강력범죄,살인기수,서울 성동구,2
강력범죄,살인미수등,서울 성동구,3
강력범죄,강도,서울 성동구,2
강력범죄,강간,서울 성동구,22
절도범죄,절도,서울 성동구,968
폭력범죄,상해,서울 성동구,74
폭력범죄,폭행,서울 성동구,504
폭력범죄,협박,서울 성동구,148
마약범죄,마약,서울 성동구,86
강력범죄,살인기수,서울 광진구,1
강력범죄,살인미수등,서울 광진구,1
강력범죄,강도,서울 광진구,6
강력범죄,강간,서울 광진구,49
절도범죄,절도,서울 광진구,1321
폭력범죄,상해,서울 광진구,89
폭력범죄,폭행,서울 광진구,705
폭력범죄,협박,서울 광진구,120
마약범죄,마약,서울 광진구,80
강력범죄,살인기수,서울 동대문구,2
강력범죄,살인미수등,서울 동대문구,5
강력범죄,강도,서울 동대문구,4
강력범죄,강간,서울 동대문구,25
절도범죄,절도,서울 동대문구,1618
폭력범죄,상해,서울 동대문구,88
폭력범죄,폭행,서울 동대문구,869
폭력범죄,협박,서울 동대문구,168
마약범죄,마약,서울 동대문구,91
강력범죄,살인기수,서울 중랑구,3
강력범죄,살인미수등,서울 중랑구,2
강력범죄,강도,서울 중랑구,2
강력범죄,강간,서울 중랑구,35
절도범죄,절도,서울 중랑구,1439
폭력범죄,상해,서울 중랑구,117
폭력범죄,폭행,서울 중랑구,840
폭력범죄,협박,서울 중랑구,186
마약범죄,마약,서울 중랑구,58
강력범죄,살인기수,서울 성북구,1
강력범죄,살인미수등,서울 성북구,1
강력범죄,강도,서울 성북구,1
강력범죄,강간,서울 성북구,32
절도범죄,절도,서울 성북구,884
폭력범죄,상해,서울 성북구,67
폭력범죄,폭행,서울 성북구,648
폭력범죄,협박,서울 성북구,127
마약범죄,마약,서울 성북구,43
강력범죄,살인기수,서울 강북구,0
강력범죄,살인미수등,서울 강북구,6
강력범죄,강도,서울 강북구,0
강력범죄,강간,서울 강북구,40
절도범죄,절도,서울 강북구,968
폭력범죄,상해,서울 강북구,71
폭력범죄,폭행,서울 강북구,703
폭력범죄,협박,서울 강북구,129
마약범죄,마약,서울 강북구,64
강력범죄,살인기수,서울 도봉구,5
강력범죄,살인미수등,서울 도봉구,2
강력범죄,강도,서울 도봉구,0
강력범죄,강간,서울 도봉구,18
절도범죄,절도,서울 도봉구,800
