AREA_GU,CATEGORY,NO,AREA_CD,AREA_NM,ENG_NM
서울 강남구,관광특구,1.0,POI001,강남 MICE 관광특구,Gangnam MICE Special Tourist Zone
서울 중구,관광특구,2.0,POI002,동대문 관광특구,Dongdaemun Fashion Town Special Tourist Zone
서울 중구,관광특구,3.0,POI003,명동 관광특구,Myeong-dong Namdaemun Bukchang-dong Da-dong Mugyo-dong Special Tourist Zone
서울 용산구,관광특구,4.0,POI004,이태원 관광특구,Itaewon Special Tourist Zone
서울 송파구,관광특구,5.0,POI005,잠실 관광특구,Jamsil Special Tourist Zone
서울 종로구,관광특구,6.0,POI006,종로·청계 관광특구,Jongno Cheonggye Special Toruist Zone
서울 마포구,관광특구,7.0,POI007,홍대 관광특구,HongDae Culture & Arts Special Tourist Zone
서울 종로구,고궁·문화유산,8.0,POI008,경복궁,Gyeongbokgung Palace
서울 중구,고궁·문화유산,9.0,POI009,광화문·덕수궁,Gwanghwamun & Deoksugung Palace
서울 종로구,고궁·문화유산,10.0,POI010,보신각,Bosingak
서울 강동구,고궁·문화유산,11.0,POI011,서울 암사동 유적,Amsa Prehistoric Settlement Site
서울 종로구,고궁·문화유산,12.0,POI012,창덕궁·종묘,Changdeokgung Palace & Jongmyo Shrine
서울 금천구,인구밀집지역,13.0,POI013,가산디지털단지역,Gasan Digital Complex station
서울 강남구,인구밀집지역,14.0,POI014,강남역,Gangnam station
서울 광진구,인구밀집지역,15.0,POI015,건대입구역,Konkuk University station
서울 강동구,인구밀집지역,16.0,POI016,고덕역,Godeok station
서울 서초구,인구밀집지역,17.0,POI017,고속터미널역,Express Bus Terminal station
서울 서초구,인구밀집지역,18.0,POI018,교대역,Seoul National University of Education station
서울 구로구,인구밀집지역,19.0,POI019,구로디지털단지역,Guro Digital Complex station
서울 구로구,인구밀집지역,20.0,POI020,구로역,Guro station
서울 광진구,인구밀집지역,21.0,POI021,군자역,Gunja station
서울 영등포구,인구밀집지역,22.0,POI023,대림역,Daerim station
서울 종로구,인구밀집지역,23.0,POI024,동대문역,Dongdaemun station
서울 성동구,인구밀집지역,24.0,POI025,뚝섬역,Ttukseom station
서울 강북구,인구밀집지역,25.0,POI026,미아사거리역,Miasageori station
서울 강서구,인구밀집지역,26.0,POI027,발산역,Balsan station
서울 동작구,인구밀집지역,27.0,POI029,사당역,Sadang station
서울 용산구,인구밀집지역,28.0,POI030,삼각지역,Samgakji station
서울 관악구,인구밀집지역,29.0,POI031,서울대입구역,Seoul National University station
서울 강서구,인구밀집지역,30.0,POI032,서울식물원·마곡나루역,Seoul Botanic Park·Magongnaru station
서울 중구,인구밀집지역,31.0,POI033,서울역,Seoul station
서울 강남구,인구밀집지역,32.0,POI034,선릉역,Seolleung station
서울 성북구,인구밀집지역,33.0,POI035,성신여대입구역,Sungshin Women's University station
서울 강북구,인구밀집지역,34.0,POI036,수유역,Suyu station
서울 강남구,인구밀집지역,35.0,POI037,신논현역·논현역,Sinnonhyeon·Nonhyeon station
서울 구로구,인구밀집지역,36.0,POI038,신도림역,Sindorim station
서울 관악구,인구밀집지역,37.0,POI039,신림역,Sillim station
서울 서대문구,인구밀집지역,38.0,POI040,신촌·이대역,Sinchon·Ewha Womans University station
서울 서초구,인구밀집지역,39.0,POI041,양재역,Yangjae station
서울 강남구,인구밀집지역,40.0,POI042,역삼역,Yeoksam station
서울 은평구,인구밀집지역,41.0,POI043,연신내역,Yeonsinnae station
서울 양천구,인구밀집지역,42.0,POI044,오목교역·목동운동장,Omokgyo·Mok-dong Stadium station
서울 성동구,인구밀집지역,43.0,POI045,왕십리역,Wangsimni station
서울 용산구,인구밀집지역,44.0,POI046,용산역,Yongsan station
서울 용산구,인구밀집지역,45.0,POI047,이태원역,Itaewon station
서울 송파구,인구밀집지역,46.0,POI048,장지역,Jangji station
서울 동대문구,인구밀집지역,47.0,POI049,장한평역,Janghanpyeong station
서울 강동구,인구밀집지역,48.0,POI050,천호역,Cheonho station
서울 동작구,인구밀집지역,49.0,POI051,총신대입구(이수)역,Chongshin University(Isu) station
서울 서대문구,인구밀집지역,50.0,POI052,충정로역,Chungjeongno station
서울 마포구,인구밀집지역,51.0,POI053,합정역,Hapjeong station
서울 종로구,인구밀집지역,52.0,POI054,혜화역,Hyehwa station
서울 마포구,인구밀집지역,53.0,POI055,홍대입구역(2호선),Hongik University station(Line 2)
서울 동대문구,인구밀집지역,54.0,POI056,회기역,Hoegi station
서울 송파구,발달상권,55.0,POI058,가락시장,Garak Market
서울 강남구,발달상권,56.0,POI059,가로수길,Garosu-gil
서울 종로구,발달상권,57.0,POI060,광장(전통)시장,Gwangjang(Traditional) Market
서울 강서구,발달상권,58.0,POI061,김포공항,Gimpo Airport
서울 동작구,발달상권,59.0,POI063,노량진,Noryangjin
서울 중구,발달상권,60.0,POI064,덕수궁길·정동길,Deoksugung-gil·Jeongdong-gil
서울 종로구,발달상권,61.0,POI066,북촌한옥마을,Bukchon Hanok Village
서울 종로구,발달상권,62.0,POI067,서촌,Seochon
서울 성동구,발달상권,63.0,POI068,성수카페거리,Seongsu Cafe Street
서울 도봉구,인구밀집지역,64.0,POI070,쌍문역,Ssangmun-dong station
서울 강남구,발달상권,65.0,POI071,압구정로데오거리,Apgujeong Rodeo Street
서울 영등포구,발달상권,66.0,POI072,여의도,Yeouido
서울 마포구,발달상권,67.0,POI073,연남동,Yeonnam-dong
서울 영등포구,발달상권,68.0,POI074,영등포 타임스퀘어,Yeongdeungpo Time square
서울 용산구,발달상권,69.0,POI076,용리단길,Yongnidan-gil
서울 용산구,발달상권,70.0,POI077,이태원 앤틱가구거리,Itaewon Antiques street
서울 종로구,발달상권,71.0,POI078,인사동,Insa-dong
서울 도봉구,발달상권,72.0,POI079,창동 신경제 중심지,Changdong New Economic Center
서울 강남구,발달상권,73.0,POI080,청담동 명품거리,Cheongdam-dong Luxury Fashion street
서울 동대문구,발달상권,74.0,POI081,청량리 제기동 일대 전통시장,Traditional market in Cheongnyangni Jegi-dong 
서울 용산구,발달상권,75.0,POI082,해방촌·경리단길,Haebangchon·Gyeongnidan-gil
서울 중구,발달상권,76.0,POI083,DDP(동대문디자인플라자),DDP(Dongdaemun Design Plaza)
서울 마포구,발달상권,77.0,POI084,DMC(디지털미디어시티),DMC(Digital Media City)
서울 강서구,공원,78.0,POI085,강서한강공원,Gangseo Hangang Park
서울 구로구,공원,79.0,POI086,고척돔,Gocheok Dome
서울 강동구,공원,80.0,POI087,광나루한강공원,Gwangnaru Hangang Park
서울 종로구,공원,81.0,POI088,광화문광장,Gwanghwamun Square
서울 용산구,공원,82.0,POI089,국립중앙박물관·용산가족공원,The National Museum of Korea·Yongsan Family Park
서울 마포구,공원,83.0,POI090,난지한강공원,Nanji Hangang Park
서울 중구,공원,84.0,POI091,남산공원,Namsan Park
서울 용산구,공원,85.0,POI092,노들섬,Nodeul island
서울 광진구,공원,86.0,POI093,뚝섬한강공원,Ttukseom Hangang Park
서울 마포구,공원,87.0,POI094,망원한강공원,Mangwon Hangang Park
서울 서초구,공원,88.0,POI095,반포한강공원,Banpo Hangang Park
서울 강북구,공원,89.0,POI096,북서울꿈의숲,Dream Forest
서울 서초구,공원,90.0,POI098,서리풀공원·몽마르뜨공원,Seoripul Park·Montmartre Park
서울 중구,공원,91.0,POI099,서울광장,Seoul Plaza
경기도 과천시,공원,92.0,POI100,서울대공원,Seoul Grand Park
서울 성동구,공원,93.0,POI101,서울숲공원,Seoul Forest
서울 광진구,공원,94.0,POI102,아차산,Achasan
서울 영등포구,공원,95.0,POI103,양화한강공원,Yanghwa Hangang Park
서울 광진구,공원,96.0,POI104,어린이대공원,Children's Grand Park
서울 영등포구,공원,97.0,POI105,여의도한강공원,Yeouido Hangang Park
서울 마포구,공원,98.0,POI106,월드컵공원,World Cup Park
서울 성동구,공원,99.0,POI107,응봉산,Eungbongsan
서울 용산구,공원,100.0,POI108,이촌한강공원,Ichon Hangang Park
서울 송파구,공원,101.0,POI109,잠실종합운동장,Jamsil (Seoul) Sports Complex
서울 송파구,공원,102.0,POI110,잠실한강공원,Jamsil Hangang Park
서울 서초구,공원,103.0,POI111,잠원한강공원,Jamwon Hangang Park
서울 서초구,공원,104.0,POI112,청계산,Cheonggyesan
서울 중구,발달상권,105.0,POI114,북창동 먹자골목,Bukchang-dong food alley
서울 중구,발달상권,106.0,POI115,남대문시장,Namdaemun Market
서울 종로구,발달상권,107.0,POI116,익선동,Ikseon-dong
서울 양천구,인구밀집지역,108.0,POI117,신정네거리역,Shinjeongnegeori Station
서울 송파구,인구밀집지역,109.0,POI118,잠실새내역,Jamsil Saenae Station
서울 송파구,인구밀집지역,110.0,POI119,잠실역,Jamsil Station
서울 송파구,발달상권,111.0,POI120,잠실롯데타워 일대,Jamsil Lotte Tower area
서울 송파구,발달상권,112.0,POI121,송리단길·호수단길,Songridan-gil·Hosudan-gil
서울 서대문구,발달상권,113.0,POI122,신촌 스타광장,Shinchon Star Plaza
서울 동작구,공원,114.0,POI123,보라매공원,Boramae Park
서울 서대문구,공원,115.0,POI124,서대문독립공원,Seodaemun Independence Park
서울 양천구,공원,116.0,POI125,안양천,Anyangcheon River
서울 영등포구,공원,117.0,POI126,여의서로,Yeouiseoro
서울 송파구,공원,118.0,POI127,올림픽공원,Olympic Park
서울 서대문구,공원,119.0,POI128,홍제폭포,Hongje Waterfall
서울 종로구,공원,120.0,POI129,송현녹지광장,Songhyeon Green Plaza
서울 중구,인구밀집지역,121.0,POI130,시의회 앞,City Council
서울 중구,인구밀집지역,122.0,POI131,숭례문,Sungnyemun Gate
