범죄대분류,범죄중분류,0시00분-02시59분,03시00분-05시59분,06시00분-08시59분,09시00분-11시59분,12시00분-14시59분,15시00분-17시59분,18시00분-20시59분,21시00분-23시59분,미상
강력범죄,살인기수,15,21,20,28,38,33,43,49,50
강력범죄,살인미수등,33,50,29,44,46,60,66,82,72
강력범죄,강도,105,131,44,59,68,72,81,107,131
강력범죄,강간,630,885,417,293,325,311,425,719,1305
강력범죄,유사강간,102,110,57,62,60,55,66,89,181
강력범죄,강제추행,1855,1921,1293,1163,1300,1706,2189,2901,2792
강력범죄,기타 강간 강제추행등,36,47,12,26,20,37,30,40,77
강력범죄,방화,144,151,105,124,109,173,189,228,139
절도범죄,절도,13088,14167,13094,21501,27167,28553,27229,20568,21590
폭력범죄,상해,4166,3408,2247,2967,3025,3684,4585,7433,5343
폭력범죄,폭행,19226,16377,9345,11591,12509,14791,20704,34120,18534
폭력범죄,체포 감금,96,106,76,122,147,146,135,185,230
폭력범죄,협박,1316,1036,1339,2288,2251,2687,3304,3437,3364
폭력범죄,약취 유인,10,12,17,29,41,48,32,13,48
폭력범죄,폭력행위등,1234,1263,460,450,508,704,936,1427,1368
폭력범죄,공갈,135,122,74,388,455,590,599,507,1977
폭력범죄,손괴,5107,4556,4014,5277,4983,6289,9323,10822,7775
마약범죄,마약범죄,244,214,151,635,773,890,776,674,3681
